Author,Venue,Submissions
David E. Culler,E-Energy,3
David E. Culler,SenSys,27
David E. Culler,SoSR,0
David E. Culler,LANC,0
David E. Culler,HotNets,1
David E. Culler,ANRW,0
David E. Culler,ANCS,0
Mani B. Srivastava,SIGCOMM,0
Mani B. Srivastava,IMC,0
Mani B. Srivastava,CoNext,0
Mani B. Srivastava,ICN,0
Mani B. Srivastava,E-Energy,1
Mani B. Srivastava,SenSys,28
Mani B. Srivastava,SoSR,0
Mani B. Srivastava,LANC,0
Mani B. Srivastava,HotNets,1
Mani B. Srivastava,ANRW,0
Mani B. Srivastava,ANCS,0
Philip Levis,SIGCOMM,0
Philip Levis,IMC,0
Philip Levis,CoNext,0
Philip Levis,ICN,0
Philip Levis,E-Energy,0
Philip Levis,SenSys,27
Philip Levis,SoSR,0
Philip Levis,LANC,0
Philip Levis,HotNets,3
Philip Levis,ANRW,0
Philip Levis,ANCS,0
Jitendra Padhye,SIGCOMM,15
Jitendra Padhye,IMC,3
Jitendra Padhye,CoNext,4
Jitendra Padhye,ICN,0
Jitendra Padhye,E-Energy,0
Jitendra Padhye,SenSys,0
Jitendra Padhye,SoSR,1
Jitendra Padhye,LANC,0
Jitendra Padhye,HotNets,6
Jitendra Padhye,ANRW,0
Jitendra Padhye,ANCS,0
Z. Morley Mao,SIGCOMM,9
Z. Morley Mao,IMC,13
Z. Morley Mao,CoNext,1
Z. Morley Mao,ICN,0
Z. Morley Mao,E-Energy,0
Z. Morley Mao,SenSys,0
Z. Morley Mao,SoSR,3
Z. Morley Mao,LANC,0
Z. Morley Mao,HotNets,2
Z. Morley Mao,ANRW,0
Z. Morley Mao,ANCS,0
Alan Mislove,SIGCOMM,4
Alan Mislove,IMC,18
Alan Mislove,CoNext,1
Alan Mislove,ICN,0
Alan Mislove,E-Energy,0
Alan Mislove,SenSys,0
Alan Mislove,SoSR,0
Alan Mislove,LANC,0
Alan Mislove,HotNets,3
Alan Mislove,ANRW,2
Alan Mislove,ANCS,0
David Wetherall,SIGCOMM,17
David Wetherall,IMC,2
David Wetherall,CoNext,4
David Wetherall,ICN,0
David Wetherall,E-Energy,0
David Wetherall,SenSys,1
David Wetherall,SoSR,0
David Wetherall,LANC,0
David Wetherall,HotNets,3
David Wetherall,ANRW,0
David Wetherall,ANCS,0
Mark Handley,SIGCOMM,18
Mark Handley,IMC,0
Mark Handley,CoNext,3
Mark Handley,ICN,0
Mark Handley,E-Energy,0
Mark Handley,SenSys,0
Mark Handley,SoSR,0
Mark Handley,LANC,0
Mark Handley,HotNets,6
Mark Handley,ANRW,0
Mark Handley,ANCS,0
Paul Barford,SIGCOMM,6
Paul Barford,IMC,16
Paul Barford,CoNext,2
Paul Barford,ICN,0
Paul Barford,E-Energy,0
Paul Barford,SenSys,0
Paul Barford,SoSR,0
Paul Barford,LANC,0
Paul Barford,HotNets,1
Paul Barford,ANRW,2
Paul Barford,ANCS,0
John S. Heidemann,SIGCOMM,4
John S. Heidemann,IMC,11
John S. Heidemann,CoNext,0
John S. Heidemann,ICN,0
John S. Heidemann,E-Energy,0
John S. Heidemann,SenSys,11
John S. Heidemann,SoSR,0
John S. Heidemann,LANC,0
John S. Heidemann,HotNets,0
John S. Heidemann,ANRW,0
John S. Heidemann,ANCS,0
Walter Willinger,SIGCOMM,12
Walter Willinger,IMC,12
Walter Willinger,CoNext,1
Walter Willinger,ICN,0
Walter Willinger,E-Energy,0
Walter Willinger,SenSys,0
Walter Willinger,SoSR,0
Walter Willinger,LANC,0
Walter Willinger,HotNets,1
Walter Willinger,ANRW,0
Walter Willinger,ANCS,0
Neil Spring,SIGCOMM,10
Neil Spring,IMC,13
Neil Spring,CoNext,1
Neil Spring,ICN,0
Neil Spring,E-Energy,0
Neil Spring,SenSys,0
Neil Spring,SoSR,0
Neil Spring,LANC,0
Neil Spring,HotNets,2
Neil Spring,ANRW,0
Neil Spring,ANCS,0
